Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
SPRP,iBPSW,134217728,30,10,0,0.626506,79142.5,12.6354,791425,815087,860127,2.30057e+08,15167.6,0.862602,1.13156,1.56006
SPRP,iBPSW,268435456,30,10,0,0.456325,81100.5,12.3304,811005,858221,960324,1.42006e+09,37683.7,0.930797,0.115894,1.25295
SPRP,iBPSW,536870912,30,10,0,0.325429,81885.7,12.2121,818857,849041,910000,5.60272e+08,23670.1,0.842957,-0.173726,1.27519
SPRP,iBPSW,1073741824,30,10,0,0.232109,82310.2,12.1492,823102,841533,900514,3.11072e+08,17637.2,2.15966,4.42647,1.04499
SPRP,iBPSW,2147483648,30,10,0,0.172113,85964.5,11.6327,859645,875394,902317,1.51144e+08,12294.1,0.655803,-0.723716,1.28104
SPRP,AE32_512,2,30,10,0,0.720742,1590.1,628.891,15901,17163.9,18927,662679,814.051,0.435381,-0.572524,1.55142
SPRP,AE32_512,4,30,10,0,0.725666,1605.1,623.014,16051,17510.3,20248,993512,996.751,1.17473,1.0252,1.46406
SPRP,AE32_512,8,30,10,0,0.7228,1599.7,625.117,15997,16887,18335,259278,509.193,0.374131,0.668642,1.74786
SPRP,AE32_512,16,30,10,0,0.724903,1604.5,623.247,16045,17287.8,20287,733013,856.162,1.6555,3.37173,1.45156
SPRP,AE32_512,32,30,10,0,0.727125,1606,622.665,16060,17195.4,20423,855300,924.824,2.18926,5.11717,1.22773
SPRP,AE32_512,64,30,10,0,0.758032,1672.9,597.764,16729,18899.3,21796,1.21333e+06,1101.51,0.377384,0.265941,1.97032
SPRP,AE32_512,128,30,10,0,0.754158,1673.1,597.693,16731,17345.8,18373,198010,444.983,0.713503,-0.0494156,1.3817
SPRP,AE32_512,256,30,10,0,0.737184,1633.6,612.145,16336,16896.9,17740,130357,361.05,0.749939,0.0752475,1.55362
SPRP,AE32_512,512,30,10,0,0.740149,1649.2,606.355,16492,17061.4,18462,212987,461.505,0.996955,0.910991,1.23386
SPRP,AE32_512,1024,30,10,0,0.707362,1656.5,603.682,16565,17535.5,19744,490530,700.379,1.33604,1.83566,1.38568
SPRP,AE32_512,2048,30,10,0,0.695558,1667.6,599.664,16676,17713.4,19673,666026,816.104,1.12264,0.475183,1.27116
SPRP,AE32_512,4096,30,10,0,0.709835,1701.9,587.579,17019,17773.7,19324,200749,448.05,1.21146,2.94177,1.68441
